Findings,Collected Data
TVET graduands finds public job based their acquired TVET skills,65.1
they get job based on the TVET skills,30.2
neutral to the statement on how trainees finds job based on the TVET skills,0.4
disagreed strongly that they get job based on the skills,3
disagreed that they get job based on the skills,1.3
refused to say anything about employment based on the skills from TVET schools,0.4
